"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 02:15:38 GMT 2025","Sun Aug 17 02:15:39 GMT 2025","898","","","","","","Registration Mixed Errors[A Ababab Bababa]",""
"skipped","Sun Aug 17 02:15:02 GMT 2025","Sun Aug 17 02:15:02 GMT 2025","13","","","","","","Calculate Rate  With Negative Amount[-345.0]",""
"passed","Sun Aug 17 02:15:02 GMT 2025","Sun Aug 17 02:15:02 GMT 2025","33","","","","","","Add New Spend[1500.25 Eur Id=None Name='\U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U043E\U0435' Username=None Archived=False \U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U0430\U044F \U0432\U0435\U0449\U044C1]",""
"passed","Sun Aug 17 02:15:26 GMT 2025","Sun Aug 17 02:15:27 GMT 2025","1154","","","","","","Set New Profile Name[Testname]",""
"passed","Sun Aug 17 02:15:16 GMT 2025","Sun Aug 17 02:15:16 GMT 2025","9","","","","","","Get User That Doesnt Exist","Тест получения пользователя, которого нет в базе"
"passed","Sun Aug 17 02:15:54 GMT 2025","Sun Aug 17 02:15:56 GMT 2025","2143","","","","","","Delete Single Spending Ui",""
"passed","Sun Aug 17 02:15:37 GMT 2025","Sun Aug 17 02:15:39 GMT 2025","2327","","","","","","Successful Login",""
"passed","Sun Aug 17 02:15:02 GMT 2025","Sun Aug 17 02:15:02 GMT 2025","9","","","","","","Calculate Rate  With Zero Amount[2-3]",""
"passed","Sun Aug 17 02:16:02 GMT 2025","Sun Aug 17 02:16:02 GMT 2025","9","","","","","","Get Friends Page Out Of Range[Page 1000, Size 1]","Тест получения друзей с пагинацией через SOAP"
"passed","Sun Aug 17 02:15:36 GMT 2025","Sun Aug 17 02:15:37 GMT 2025","1236","","","","","","Bad Credentials[Wrongusernonexistent!!]",""
