"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 31 10:06:58 GMT 2025","Sun Aug 31 10:06:58 GMT 2025","180","","","","","","Added Spending In Database[1000.26 Rub Id=None Name='\U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U043E\U0435' Username=None Archived=False \U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U044B\U0435 \U0448\U043B\U044F\U043F\U044B]",""
"passed","Sun Aug 31 10:07:47 GMT 2025","Sun Aug 31 10:07:47 GMT 2025","14","","","","","","Get Friends Page[Page 1, Size 5]","Тест получения друзей с пагинацией через SOAP"
"passed","Sun Aug 31 10:07:00 GMT 2025","Sun Aug 31 10:07:00 GMT 2025","24","","","","","","Update Spending Currency[2-2]",""
"passed","Sun Aug 31 10:07:24 GMT 2025","Sun Aug 31 10:07:24 GMT 2025","34","","","","","","Decline Friend Invitation","Тест отклонения приглашения в друзья через SOAP"
"passed","Sun Aug 31 10:07:01 GMT 2025","Sun Aug 31 10:07:01 GMT 2025","34","","","","","","Add Existing Archived Category[Uniquearchivedcategory1]",""
"passed","Sun Aug 31 10:07:34 GMT 2025","Sun Aug 31 10:07:35 GMT 2025","1181","","","","","","Bad Credentials[Wrongusernonexistent!!]",""
"passed","Sun Aug 31 10:07:39 GMT 2025","Sun Aug 31 10:07:40 GMT 2025","1081","","","","","","Add Duplicate Category[Duplicatecategory]",""
"passed","Sun Aug 31 10:07:41 GMT 2025","Sun Aug 31 10:07:43 GMT 2025","1187","","","","","","Duplicate Category Alert Elements[Duplicatecategorynifflerunique]",""
"skipped","Sun Aug 31 10:06:59 GMT 2025","Sun Aug 31 10:06:59 GMT 2025","8","","","","","","Calculate Rate  With Negative Amount[-200.0]",""
"passed","Sun Aug 31 10:06:59 GMT 2025","Sun Aug 31 10:06:59 GMT 2025","30","","","","","","Add New Spend[1500.25 Eur Id=None Name='\U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U043E\U0435' Username=None Archived=False \U0423\U043D\U0438\U043A\U0430\U043B\U044C\U043D\U0430\U044F \U0432\U0435\U0449\U044C1]",""
"passed","Sun Aug 31 10:08:05 GMT 2025","Sun Aug 31 10:08:05 GMT 2025","14","","","","","","Get Friends Page Out Of Range[Page 4, Size 100]","Тест получения друзей с пагинацией через SOAP"
"passed","Sun Aug 31 10:07:00 GMT 2025","Sun Aug 31 10:07:00 GMT 2025","34","","","","","","Update Spending Date[1-2]",""
"passed","Sun Aug 31 10:06:59 GMT 2025","Sun Aug 31 10:06:59 GMT 2025","8","","","","","","Calculate Rate  Without Spend Currency[2-345.0]",""
"passed","Sun Aug 31 10:07:48 GMT 2025","Sun Aug 31 10:07:50 GMT 2025","1838","","","","","","Spendings Search Description",""
"passed","Sun Aug 31 10:07:24 GMT 2025","Sun Aug 31 10:07:24 GMT 2025","15","","","","","","Get All Users Pagination[Page 1, Size 3]","Тест получения пользователей с пагинацией через SOAP"
"passed","Sun Aug 31 10:06:59 GMT 2025","Sun Aug 31 10:06:59 GMT 2025","17","","","","","","Currency Conversion[2-1-100.0-6666.67]",""
"passed","Sun Aug 31 10:06:59 GMT 2025","Sun Aug 31 10:06:59 GMT 2025","10","","","","","","Calculate Rate  Without Spend Currency[3-100.0]",""
