"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 31 10:28:02 GMT 2025","Sun Aug 31 10:28:04 GMT 2025","1894","","","","","","test_spending_mixed_validation",""
"passed","Sun Aug 31 10:27:35 GMT 2025","Sun Aug 31 10:27:36 GMT 2025","927","","","","","","test_incorrect_password[a]",""
"passed","Sun Aug 31 10:27:54 GMT 2025","Sun Aug 31 10:28:00 GMT 2025","5648","","","","","","test_nonexistent_spendings_search[Noneeeeeeee]",""
"passed","Sun Aug 31 10:27:35 GMT 2025","Sun Aug 31 10:27:35 GMT 2025","77","","","","","","test_remove_friend","Тест удаления из друзей через SOAP"
"passed","Sun Aug 31 10:27:04 GMT 2025","Sun Aug 31 10:27:04 GMT 2025","47","","","","","","test_update_spending_multiple_fields",""
"passed","Sun Aug 31 10:27:04 GMT 2025","Sun Aug 31 10:27:04 GMT 2025","35","","","","","","test_update_spending_description[2-2]",""
"passed","Sun Aug 31 10:27:02 GMT 2025","Sun Aug 31 10:27:02 GMT 2025","321","","","","","","test_added_category_in_database[UniqueDatabaseCategory1]",""
"passed","Sun Aug 31 10:27:55 GMT 2025","Sun Aug 31 10:27:55 GMT 2025","12","","","","","","test_get_all_users_page_out_of_range[page 4, size 100]","Тест получения пользователей с пагинацией через SOAP с некорректными параметрами"
"passed","Sun Aug 31 10:27:04 GMT 2025","Sun Aug 31 10:27:04 GMT 2025","25","","","","","","test_get_spend_by_id[2-2]",""
"passed","Sun Aug 31 10:27:04 GMT 2025","Sun Aug 31 10:27:04 GMT 2025","27","","","","","","test_update_spending_description[1-2]",""
"passed","Sun Aug 31 10:27:03 GMT 2025","Sun Aug 31 10:27:05 GMT 2025","1261","","","","","","test_userdata_db_should_process_messages_from_kafka_producer[NifflerKafkaUser]",""
"passed","Sun Aug 31 10:27:37 GMT 2025","Sun Aug 31 10:27:38 GMT 2025","1554","","","","","","test_bad_credentials[a]",""
"skipped","Sun Aug 31 10:27:05 GMT 2025","Sun Aug 31 10:27:05 GMT 2025","56","","","","","","test_get_spending_after_update",""
"passed","Sun Aug 31 10:27:47 GMT 2025","Sun Aug 31 10:27:48 GMT 2025","1368","","","","","","test_duplicate_category_alert_elements[DuplicateCategoryNifflerUnique]",""
"passed","Sun Aug 31 10:27:16 GMT 2025","Sun Aug 31 10:27:16 GMT 2025","9","","","","","","test_get_user_that_doesnt_exist","Тест получения пользователя, которого нет в базе"
"passed","Sun Aug 31 10:27:32 GMT 2025","Sun Aug 31 10:27:32 GMT 2025","9","","","","","","test_get_all_users_page_invalid_parameters[page -1, size -1]","Тест получения пользователей с пагинацией через SOAP с некорректными параметрами"
"passed","Sun Aug 31 10:27:05 GMT 2025","Sun Aug 31 10:27:05 GMT 2025","84","","","","","","test_delete_single_spending",""
"passed","Sun Aug 31 10:27:03 GMT 2025","Sun Aug 31 10:27:03 GMT 2025","17","","","","","","test_calculate_rate__without_spend_currency[2-345.0]",""
"passed","Sun Aug 31 10:27:45 GMT 2025","Sun Aug 31 10:27:46 GMT 2025","943","","","","","","test_add_duplicate_archived_category[DuplicateArchivedCategory]",""
"passed","Sun Aug 31 10:27:41 GMT 2025","Sun Aug 31 10:27:43 GMT 2025","1571","","","","","","test_registration_mixed_errors[newuser aaaaaaaaaaaaa bababa]",""
"passed","Sun Aug 31 10:27:45 GMT 2025","Sun Aug 31 10:27:47 GMT 2025","1139","","","","","","test_correct_registration[NifflerUser]",""
"passed","Sun Aug 31 10:27:03 GMT 2025","Sun Aug 31 10:27:03 GMT 2025","14","","","","","","test_calculate_rate__with_zero_amount[1-2]",""
"passed","Sun Aug 31 10:27:44 GMT 2025","Sun Aug 31 10:27:45 GMT 2025","1516","","","","","","test_add_duplicate_category[DuplicateCategory]",""
"passed","Sun Aug 31 10:28:06 GMT 2025","Sun Aug 31 10:28:11 GMT 2025","5508","","","","","","test_nonexistent_spendings_search[\u041d\u0435\u0441\u0443\u0449\u0435\u0441\u0442\u0432]",""
"passed","Sun Aug 31 10:28:15 GMT 2025","Sun Aug 31 10:28:15 GMT 2025","9","","","","","","test_get_friends_page_out_of_range[page 100, size 100]","Тест получения друзей с пагинацией через SOAP"
"passed","Sun Aug 31 10:27:39 GMT 2025","Sun Aug 31 10:27:41 GMT 2025","1197","","","","","","test_registration_mixed_errors[a ababab bababa]",""
"passed","Sun Aug 31 10:27:52 GMT 2025","Sun Aug 31 10:27:54 GMT 2025","1834","","","","","","test_spendings_search_description",""
"passed","Sun Aug 31 10:27:46 GMT 2025","Sun Aug 31 10:27:46 GMT 2025","30","","","","","","test_get_friends","Тест получения списка друзей через SOAP"
"passed","Sun Aug 31 10:27:55 GMT 2025","Sun Aug 31 10:27:57 GMT 2025","2782","","","","","","test_add_new_spending[235.35 KZT id=None name='\u041f\u0443\u0442\u0435\u0448\u0435\u0441\u0442\u0432\u0438\u044f' username=None archived=False \u0411\u0438\u043b\u0435\u0442\u044b \u043d\u0430 \u0441\u0430\u043c\u043e\u043b\u0451\u0442]",""
"passed","Sun Aug 31 10:27:11 GMT 2025","Sun Aug 31 10:27:11 GMT 2025","19","","","","","","test_get_user_info_with_existing_username","Тест получения существующего пользователя через SOAP"
"passed","Sun Aug 31 10:27:50 GMT 2025","Sun Aug 31 10:27:51 GMT 2025","1586","","","","","","test_change_category_name_with_click[ChangeMyNameWithClick]",""
"passed","Sun Aug 31 10:27:02 GMT 2025","Sun Aug 31 10:27:02 GMT 2025","29","","","","","","test_get_all_categories",""
"passed","Sun Aug 31 10:27:03 GMT 2025","Sun Aug 31 10:27:03 GMT 2025","10","","","","","","test_calculate_rate__without_amount[2-3]",""
"passed","Sun Aug 31 10:27:42 GMT 2025","Sun Aug 31 10:27:42 GMT 2025","25","","","","","","test_get_all_users_pagination[page 1, size 6]","Тест получения пользователей с пагинацией через SOAP"
"passed","Sun Aug 31 10:27:33 GMT 2025","Sun Aug 31 10:27:34 GMT 2025","1378","","","","","","test_incorrect_username[a]",""
"passed","Sun Aug 31 10:27:27 GMT 2025","Sun Aug 31 10:27:29 GMT 2025","1861","","","","","","test_set_new_profile_name[Testname]",""
"passed","Sun Aug 31 10:27:02 GMT 2025","Sun Aug 31 10:27:02 GMT 2025","93","","","","","","test_updated_category_in_database[UniqueDatabaseCategory2]",""
"passed","Sun Aug 31 10:27:04 GMT 2025","Sun Aug 31 10:27:04 GMT 2025","31","","","","","","test_get_spend_by_id[1-2]",""
